id,title,year,slug,runtime_min,sktorrent_video_id,sktorrent_cdn,sktorrent_qualities,has_dub,has_subtitles,csfd_rating,imdb_rating,priority_score,imdb_id,csfd_id,detail_url,prehrajto_verdict,prehrajto_candidates,prehrajto_best_url,prehrajto_best_title,prehrajto_search_url
7905,Hellraiser III: Peklo na zemi,1992,hellraiser-iii-peklo-na-zemi,,22704,16,"480p,240p",t,f,59,5.5,11.40,tt0104409,4308,https://ceskarepublika.wiki/filmy-online/hellraiser-iii-peklo-na-zemi/,FOUND,4,https://prehraj.to/hellraiser-iii-peklo-na-zemi-1992-cz-1080p/6332b67034a5b,Hellraiser III Peklo na Zemi (1992) cz 1080p,https://prehraj.to/hledej/Hellraiser%20III
7463,It Feeds,2025,it-feeds,,45715,2,"720p,480p",f,t,58,5.6,11.40,tt28230296,1647007,https://ceskarepublika.wiki/filmy-online/it-feeds/,FOUND,17,https://prehraj.to/it-feeds-2025-horor-en-aac-5-1-titulky-sk-en-hevc-1080p/680f751ad62ff,"It Feeds (2025) Horor, EN-AAC-5.1, Titulky SK, EN, HEVC, 1080p",https://prehraj.to/hledej/It%20Feeds
7481,Zlouni: Prokletá loupež,2024,zlouni-prokleta-loupez,,39923,,,t,f,58,5.6,11.40,tt33130902,1566504,https://ceskarepublika.wiki/filmy-online/zlouni-prokleta-loupez/,MAYBE,1,https://prehraj.to/zlouni-prokleta-loupez-2024-cz-dab-1080p/d319567a2f3c7bae,Zlouni - Prokletá loupež 2024 CZ dab 1080p,https://prehraj.to/hledej/Zlouni
5850,Šoumen krokodýl,2022,soumen-krokodyl,,27667,,,t,f,53,6.1,11.40,tt14668630,1037126,https://ceskarepublika.wiki/filmy-online/soumen-krokodyl/,MAYBE,1,https://prehraj.to/soumen-krokodyl-cz/4fe99c43e5c6849b,Šoumen Krokodýl  cz,https://prehraj.to/hledej/%C5%A0oumen%20krokod%C3%BDl
7577,Cesta domů,2021,cesta-domu-2021,,20604,14,"720p,480p",t,f,58,5.6,11.40,tt13447036,436333,https://ceskarepublika.wiki/filmy-online/cesta-domu-2021/,FOUND,32,https://prehraj.to/cesta-domu-1996-cz-mp4/337badb795925a5c,Cesta-domů_1996-Cz.mp4,https://prehraj.to/hledej/Cesta%20dom%C5%AF
7698,Assassin's Creed,2016,assassins-creed,,1576,5,"720p,480p,360p",t,f,58,5.6,11.40,tt2094766,308785,https://ceskarepublika.wiki/filmy-online/assassins-creed/,FOUND,32,https://prehraj.to/assassin-s-creed-2016/65bf83438f24e,ASSASSIN-S-CREED (2016),https://prehraj.to/hledej/Assassin%27s%20Creed
7709,Likvidátoři,2016,likvidatori,,19570,10,"720p,480p",t,f,58,5.6,11.40,tt4587366,67869,https://ceskarepublika.wiki/filmy-online/likvidatori/,FOUND,12,https://prehraj.to/likvidatori-eliminators-2016-cz/641f6b0cc951f,Likvidátori - Eliminators.2016.CZ,https://prehraj.to/hledej/Likvid%C3%A1to%C5%99i
7509,V objetí ďábla,2015,v-objeti-dabla,,33770,10,"720p,480p",t,f,58,5.6,11.40,tt3319920,356862,https://ceskarepublika.wiki/filmy-online/v-objeti-dabla/,FOUND,6,https://prehraj.to/v-objeti-dabla-2015-webrip-720p-cz-dab/659c583c57da2,V objetí ďábla.2015.WEBRip.720p.CZ.dab,https://prehraj.to/hledej/V%20objet%C3%AD%20%C4%8F%C3%A1bla
7727,Slepě zamilovaný,2015,careful-what-you-wish-for,,46810,3,"720p,480p",t,f,58,5.6,11.40,tt1629242,348538,https://ceskarepublika.wiki/filmy-online/careful-what-you-wish-for/,NONE,0,,,https://prehraj.to/hledej/Slep%C4%9B%20zamilovan%C3%BD
7738,Pixely,2015,pixely,,2061,7,"480p,360p",t,f,58,5.6,11.40,tt2120120,107523,https://ceskarepublika.wiki/filmy-online/pixely/,FOUND,32,https://prehraj.to/pixely-2015-1080p-cz/68dd8618a86a2,Pixely (2015) 1080p CZ,https://prehraj.to/hledej/Pixely
7770,Mstitel bezpráví 2,2014,mstitel-bezpravi-2,,30392,17,"480p,240p",t,f,58,5.6,11.40,tt2996648,358450,https://ceskarepublika.wiki/filmy-online/mstitel-bezpravi-2/,MAYBE,1,https://prehraj.to/mstitel-bezpravi-2-2014-sk-dabing/59c3c87c13da9,Mstitel Bezpráví 2 (2014) SK Dabing,https://prehraj.to/hledej/Mstitel%20bezpr%C3%A1v%C3%AD%202
7670,Hra na hraně,2013,hra-na-hrane,,43299,11,"720p,480p",t,f,58,5.6,11.40,tt2364841,317124,https://ceskarepublika.wiki/filmy-online/hra-na-hrane/,FOUND,32,https://prehraj.to/hra-na-hrane-2013-fullhd-czdabing/64ee2d754902d,"Hra na hraně 2013 (FullHD, CZdabing)",https://prehraj.to/hledej/Hra%20na%20hran%C4%9B
7764,R.I.P.D. – URNA: Útvar rozhodně neživých agentů,2013,ripd-urna-utvar-rozhodne-nezivych-agentu,,3171,23,"720p,480p,360p",t,f,58,5.6,11.40,tt0790736,294303,https://ceskarepublika.wiki/filmy-online/ripd-urna-utvar-rozhodne-nezivych-agentu/,FOUND,15,https://prehraj.to/ripd/59fa065472d3c,ripd,https://prehraj.to/hledej/R.I.P.D.
8630,Panda a já,2025,panda-a-ja,,47733,4,"720p,480p",t,f,62,5.2,11.40,tt35705226,1633573,https://ceskarepublika.wiki/filmy-online/panda-a-ja/,MAYBE,2,https://prehraj.to/panda-a-ja-2025-dobrodruzny-novinka-cz-dabing-full-hd-1080p-pucci-film-3-67-gb-mp4/c57afbd0938c6af9,Panda a já 2025 dobrodruzny novinka CZ dabing Full HD 1080p Pucci film  3.67 GB.mp4,https://prehraj.to/hledej/Panda%20a%20j%C3%A1
